"","station","Date","PM2.5","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","WSPM"
"1","Aotizhongxin",2013-03-01,7.125,11.7083333333333,22.5833333333333,429.166666666667,63.875,1.39166666666667,1026.875,-18.7458333333333,0,3.25416666666667
"2","Aotizhongxin",2013-03-02,30.75,36.625,66.6666666666667,824.916666666667,29.75,0.616666666666667,1026.85,-15.9375,0,1.47916666666667
"3","Aotizhongxin",2013-03-03,76.9166666666667,61.2916666666667,81,1620.625,19.125,5.56666666666667,1014.60833333333,-12.3166666666667,0,1.65833333333333
"4","Aotizhongxin",2013-03-04,22.7083333333333,NA,NA,NA,53.75,9.9625,1017.65,-11.6833333333333,0,2.40416666666667
"5","Aotizhongxin",2013-03-05,148.875,93.875,132.833333333333,2357.95833333333,68.4583333333333,6.29166666666667,1010.9,-7.525,0,1.12916666666667
"6","Aotizhongxin",2013-03-06,223.25,116.2367,142.059383333333,NA,19.75,7.18333333333333,1007.48333333333,-4.21666666666667,0,1.48333333333333
"7","Aotizhongxin",2013-03-07,263.375,97.5416666666667,147.75,3632.875,38.8333333333333,9.2875,1002.32083333333,-2.03333333333333,0,1.55833333333333
"8","Aotizhongxin",2013-03-08,221.458333333333,NA,NA,NA,79.3333333333333,9.6125,999.475,-1.15,0,1.6375
"9","Aotizhongxin",2013-03-09,62.0416666666667,33.3333333333333,45,1178.95833333333,73.9166666666667,6.98333333333333,1004.39166666667,-10.1625,0,3.39166666666667
"10","Aotizhongxin",2013-03-10,34.2916666666667,22.9166666666667,49.6666666666667,708.333333333333,82.6666666666667,5.2625,1020.49166666667,-12.85,0,2.44166666666667
"11","Aotizhongxin",2013-03-11,123.791666666667,86.875,90.6666666666667,1670.75,75.25,5.5375,1013.6625,-6.62083333333333,0,1.56666666666667
"12","Aotizhongxin",2013-03-12,122.791666666667,27.5,72.875,NA,36.5833333333333,4.6,1008.80833333333,1.35,0.120833333333333,1.08333333333333
"13","Aotizhongxin",2013-03-13,16.0416666666667,16.25,36.0833333333333,504.166666666667,71.875,4.92916666666667,1022.475,-10.05,0,2.32916666666667
"14","Aotizhongxin",2013-03-14,95.1666666666667,51.9166666666667,70.375,1337.29166666667,68.9166666666667,3.81666666666667,1021.4,-3.5875,0,1.95416666666667
"15","Aotizhongxin",2013-03-15,212.291666666667,75.5833333333333,99.4166666666667,2116.5,44.2083333333333,6.4,1014.5,-1.06666666666667,0,1.42083333333333
"16","Aotizhongxin",2013-03-16,244.875,70.125,90.375,NA,66.6666666666667,9.52916666666667,1016.85416666667,0.883333333333333,0,1.69583333333333
