"","Date","Real","Forecast","station"
"1",2013-03-01,NA,NA,"Aotizhongxin"
"2",2013-03-02,1.46228026809781,0,"Aotizhongxin"
"3",2013-03-03,0.916832590462325,0.820428092717175,"Aotizhongxin"
"4",2013-03-04,-1.21999062039955,0.761482074648512,"Aotizhongxin"
"5",2013-03-05,1.88037506336017,2.10984422801911,"Aotizhongxin"
"6",2013-03-06,0.405185192081144,-0.332213530276338,"Aotizhongxin"
"7",2013-03-07,0.165286652367745,0.478130005036788,"Aotizhongxin"
"8",2013-03-08,-0.173344411696251,0.18508619096434,"Aotizhongxin"
"9",2013-03-09,-1.27242825809204,-1.86439032989557,"Aotizhongxin"
"10",2013-03-10,-0.592903832006939,-0.794242483867371,"Aotizhongxin"
"11",2013-03-11,1.28369767478554,1.32228737629898,"Aotizhongxin"
"12",2013-03-12,-0.00811089272491294,1.04163398914332,"Aotizhongxin"
"13",2013-03-13,-2.03529964844991,-2.15461501635984,"Aotizhongxin"
"14",2013-03-14,1.78044023648812,0.333369685394785,"Aotizhongxin"
"15",2013-03-15,0.802331374880924,1.08773354057172,"Aotizhongxin"
"16",2013-03-16,0.142786760955826,-0.345677611807827,"Aotizhongxin"
"17",2013-03-17,0.150131822348439,1.721909991349,"Aotizhongxin"
"18",2013-03-18,-1.39290571260924,-1.65858542767288,"Aotizhongxin"
"19",2013-03-19,-0.544401919299595,0.642128210773118,"Aotizhongxin"
"20",2013-03-20,0.176546103335788,-0.578468288753747,"Aotizhongxin"
"21",2013-03-21,1.11354845474007,0.952088120254897,"Aotizhongxin"
"22",2013-03-22,-0.499238008593603,-0.855270067017241,"Aotizhongxin"
"23",2013-03-23,-0.538864843830384,0.290339615227975,"Aotizhongxin"
"24",2013-03-24,-1.04554332053788,-0.49458668960371,"Aotizhongxin"
"25",2013-03-25,1.70740034310462,0.464738017872215,"Aotizhongxin"
"26",2013-03-26,0.606135803570315,0.654625483893995,"Aotizhongxin"
"27",2013-03-27,-0.715852438286411,-0.518991480664209,"Aotizhongxin"
"28",2013-03-28,-1.17366519238461,-0.179768529005875,"Aotizhongxin"
